,Title,Abstract,Classes,Text
23,Three-dimensional lower bound finite element limit analysis of an anisotropic undrained strength criterion using second-order cone programming,"© 2018 Elsevier LtdThis paper describes a formulation of second-order cone programming for three-dimensional lower bound finite element limit analysis considering a cross-anisotropic undrained strength criterion. A three-dimensional generalized yield criterion accounting for the cross-anisotropic undrained strength of clay is proposed and requires four input shear strengths in triaxial compression and extension, direct simple shear, and pressuremeter tests. The proposed formulation is verified through the predictions of various compressions of anisotropic soil blocks while the importance of undrained strength anisotropy is demonstrated by analyses of undrained bearing capacity of strip, circular and square footings on anisotropic clays.","['MATH', 'MATSCI']",three dimensional low bind finite element limit analysis of an anisotropic undrained strength criterion use second order cone programming elsevier ltdthis paper describe a formulation of second order cone programming for three dimensional low bind finite element limit analysis consider a cross anisotropic undrained strength criterion a three dimensional generalized yield criterion accounting for the cross anisotropic undrained strength of clay be propose and require four input shear strength in triaxial compression and extension direct simple shear and pressuremeter test the propose formulation be verify through the prediction of various compression of anisotropic soil block while the importance of undrained strength anisotropy be demonstrate by analysis of undrained bearing capacity of strip circular and square footing on anisotropic clay
24,Techno-economic analysis of hydrogen production from dehydrogenation and steam reforming of ethanol for carbon dioxide conversion to methanol,"© 2021 Hydrogen Energy Publications LLCDecreasing carbon dioxide (CO2) emission by converting to higher-valued product has become of interest. Hydrogen (H2) is an important feedstock required in thermochemical conversion of CO2 to chemicals such as methanol. The cost and availability of H2 affect the cost of CO2 conversion. This study is focused on the process simulation of H2 production from ethanol feedstock. Steam reforming of ethanol is compared with dehydrogenation of ethanol to H2 with valued products including ethyl acetate and acetaldehyde. Form this study, steam reforming of ethanol presents the lowest cost of H2 production at 1.58 USD/kg H2 while dehydrogenation of ethanol presents the cost at 3.24 and 1.97 USD/kg H2, respectively. Although presenting the lowest cost, steam reforming of ethanol provides a net positive CO2 emission in the overall CO2 conversion to methanol process. In contrast, ethanol dehydrogenation to H2 and byproducts, ethyl acetate and acetaldehyde, promotes a net negative CO2 emission of −819.20 kg/ton methanol and −5.42 kg/ton methanol, respectively. The results present a decreasing CO2 emission with an increasing cost of H2 production.","['PE', 'CHE', 'IE']",techno economic analysis of hydrogen production from dehydrogenation and steam reforming of ethanol for carbon dioxide conversion to methanol hydrogen energy publication llcdecrease carbon dioxide co emission by convert to high value product have become of interest hydrogen h be an important feedstock require in thermochemical conversion of co to chemical such as methanol the cost and availability of h affect the cost of co conversion this study be focus on the process simulation of h production from ethanol feedstock steam reforming of ethanol be compare with dehydrogenation of ethanol to h with value product include ethyl acetate and acetaldehyde form this study steam reforming of ethanol present the low cost of h production at usd kg h while dehydrogenation of ethanol present the cost at and usd kg h respectively although present the low cost steam reforming of ethanol provide a net positive co emission in the overall co conversion to methanol process in contrast ethanol dehydrogenation to h and byproducts ethyl acetate and acetaldehyde promote a net negative co emission of kg ton methanol and kg ton methanol respectively the result present a decrease co emission with an increase cost of h production
25,"Scenarios of municipal solid waste management for mitigating greenhouse gas emission: A case study of supermarket in Bangkok, Thailand","© 2018 Association for Computing Machinery.As a consequence of rapid urbanization and population growth, many cities have faces issues of waste management. Landfill approach is generally decided for handling most of municipal solid waste, resulting the impacts of environment especially land occupation and global warming. As commercial building plays an importance role not only for economic value but also for environmental aspects, a supermarket located in community mall was selected as a case study towards sustainable cities. This study was aimed to investigate the current MSW management system of supermarket in order to quantify its environmental performance and to propose suitable options for improving municipal solid waste management. The findings revealed that at the business-Asusual, 397 tCO2e was emitted annually from landfilling waste of a supermarket in Thailand. However, if waste management has improved by recycling plus bio-gasification approach, not only 374 tCO2e/year will not be emitted from landfilling, but 243 tCO2e/year also be reduced due to the activities in relevant to recycling and bio-gasification process. Moreover, applying such approach provides benefit in economic term about 18,321 USD a year. The results of this study could inspire another commercial buildings or others sector to adopting waste management practices together for creating a network of sustainable cities through suitable waste management system.","['CE', 'ENV', 'CHE']",scenario of municipal solid waste management for mitigate greenhouse gas emission a case study of supermarket in bangkok thailand association for compute machinery as a consequence of rapid urbanization and population growth many city have face issue of waste management landfill approach be generally decide for handle most of municipal solid waste result the impact of environment especially land occupation and global warming as commercial building play an importance role not only for economic value but also for environmental aspect a supermarket locate in community mall be select as a case study towards sustainable city this study be aim to investigate the current msw management system of supermarket in order to quantify its environmental performance and to propose suitable option for improve municipal solid waste management the finding reveal that at the business asusual tco e be emit annually from landfille waste of a supermarket in thailand however if waste management have improve by recycling plus bio gasification approach not only tco e year will not be emit from landfille but tco e year also be reduce due to the activity in relevant to recycling and bio gasification process moreover apply such approach provide benefit in economic term about usd a year the result of this study could inspire another commercial building or other sector to adopt waste management practice together for create a network of sustainable city through suitable waste management system
26,Integration of the biorefinery concept for the development of sustainable processes for pulp and paper industry,"© 2018This work aims at developing sustainable processes for pulp and paper industry by integration of the biorefinery concept to an existing pulp and paper process. A systematic methodology employing a superstructure-based process synthesis approach is employed with support from computer-aided tools to determine potential pathways for a long-term sustainable growth objective. A superstructure of the multi-product biorefinery process network for the pulp and paper industry is developed. It is divided into three sub-networks, a chemical pulping section, a biochemical production section and a black liquor utilization section. Superstructure optimization is performed with the objective to maximize profit to determine optimal integrated networks for three scenarios. The obtained results provide useful insights for further development of the optimal networks as sustainable integrated biorefinery combined with pulp and paper mills.","['CHE', 'MATENG']",integration of the biorefinery concept for the development of sustainable process for pulp and paper industry this work aim at develop sustainable process for pulp and paper industry by integration of the biorefinery concept to an exist pulp and paper process a systematic methodology employ a superstructure base process synthesis approach be employ with support from computer aid tool to determine potential pathway for a long term sustainable growth objective a superstructure of the multi product biorefinery process network for the pulp and paper industry be develop it be divide into three sub network a chemical pulp section a biochemical production section and a black liquor utilization section superstructure optimization be perform with the objective to maximize profit to determine optimal integrate network for three scenario the obtain result provide useful insight for further development of the optimal network as sustainable integrated biorefinery combine with pulp and paper mill
27,Improvement of Relative Permeability and Wetting Condition of Sandstone by Low Salinity Waterflooding,"© Published under licence by IOP Publishing Ltd.Waterflooding is generally performed to maintain reservoir pressure and as a consequence, production period is extended. However, conventional waterflooding may be not suitable for every reservoir. Low Salinity Waterflooding (LSW) which is recently the most mentioned technique is therefore, considered. Although clear explanation of oil recovery mechanism is not available, it is believed that the key mechanism is Multi-component Ion Exchange (MIE). This study aims to assess improvement of relative permeability and wetting condition of sandstone formation from oilfield in Thailand, through the MIE mechanism. The study is divided into two major parts. The first part is laboratory study including core and fluid preparations, imbibition test, coreflooding test and ion-exchange detection. After laboratory data including fluid production rate and pressure difference versus time are obtained, core simulation using reservoir simulation program called STAR® commercialized by Computer Modelling Group (CMG) is performed to study the change of wetting condition through the shifting of relative permeability. Obtaining results would help verifying suitability of the implementation of this technique in oilfield. Results from imbibition test showed that LSW yields higher oil recovery factor compared to formation water. Diluted formation water at 5,000 ppm which is approximately one-third of formation water, is the best water formulation, yielding the fastest rate of imbibition in this study. From ion-exchange detection test, results showed the variation of divalent ion concentrations compared to injected water and moreover, presence of calcium and magnesium ions in oil phase supports the occurrence of MIE during the displacement mechanism. The theoretical model matching with physical data using reservoir simulation program indicates that LSW slightly affects the original wetting condition. Water wetness is lessened as can be observed from the increment of relative permeability to water at the end point saturation. Moreover, LSW reduces residual oil saturation and at the same time, increases relative permeability to oil. From the detection of MIE together with the observation of wetting condition through core simulation, it can be concluded that LSW is a promising technique for oilfield in Thailand. As produced water must be reinjected back into reservoir based on zero discharge regulation of Thai government, this low-cost technique of diluting water salinity prior to reinjection would fulfil the requirement of government and at the same time helps increasing oil recovery of the total field.","['PE', 'METAL', 'CHE']",improvement of relative permeability and wet condition of sandstone by low salinity waterflooding publish under licence by iop publish ltd waterflooding be generally perform to maintain reservoir pressure and as a consequence production period be extend however conventional waterflooding may be not suitable for every reservoir low salinity waterfloode lsw which be recently the most mention technique be therefore consider although clear explanation of oil recovery mechanism be not available it be believe that the key mechanism be multi component ion exchange mie this study aim to assess improvement of relative permeability and wet condition of sandstone formation from oilfield in thailand through the mie mechanism the study be divide into two major part the first part be laboratory study include core and fluid preparation imbibition test coreflooding test and ion exchange detection after laboratory datum include fluid production rate and pressure difference versus time be obtain core simulation use reservoir simulation program call star commercialize by computer modelling group cmg be perform to study the change of wet condition through the shifting of relative permeability obtain result would help verify suitability of the implementation of this technique in oilfield result from imbibition test show that lsw yield high oil recovery factor compare to formation water dilute formation water at ppm which be approximately one third of formation water be the good water formulation yield the fast rate of imbibition in this study from ion exchange detection test result show the variation of divalent ion concentration compare to inject water and moreover presence of calcium and magnesium ion in oil phase support the occurrence of mie during the displacement mechanism the theoretical model match with physical datum use reservoir simulation program indicate that lsw slightly affect the original wet condition water wetness be lessen as can be observe from the increment of relative permeability to water at the end point saturation moreover lsw reduce residual oil saturation and at the same time increase relative permeability to oil from the detection of mie together with the observation of wet condition through core simulation it can be conclude that lsw be a promising technique for oilfield in thailand as produce water must be reinjecte back into reservoir base on zero discharge regulation of thai government this low cost technique of dilute water salinity prior to reinjection would fulfil the requirement of government and at the same time help increase oil recovery of the total field
28,Classification of advertisement text on Facebook using synthetic minority over-sampling technique,"© 2018 Association for Computing Machinery.Understanding in consumer behavior is an important task in the field of marketing. Dentsu's AISAS model is a model that has been proposed to describe consumer behavior. The model defines reaction when the consumer has seen advertising into five stages: attention, interest, search, action, and share. In this paper, advertisement text datasets from Facebook were labelled as the stages of AISAS model and learned to be classified by machine learning algorithms. Nevertheless, like many other real-world data, our dataset had imbalanced class distribution. The classifier algorithms tend to predict mostly the majority class. To overcome this problem, synthetic minority over-sampling technique (SMOTE) was adopted and also combined with chi-square based feature selection technique. Varieties of feature sizes based on various classifier algorithms were compared. In the appropriate feature size, SMOTE could improve the classification performance in terms of recall and F1 score.","['CPE', 'EDU', 'MATSCI']",classification of advertisement text on facebook use synthetic minority over sample technique association for compute machinery understanding in consumer behavior be an important task in the field of marketing dentsu s aisas model be a model that have be propose to describe consumer behavior the model define reaction when the consumer have see advertising into five stage attention interest search action and share in this paper advertisement text dataset from facebook be label as the stage of aisa model and learn to be classify by machine learn algorithm nevertheless like many other real world datum our dataset have imbalance class distribution the classifi algorithm tend to predict mostly the majority class to overcome this problem synthetic minority over sample technique smote be adopt and also combine with chi square base feature selection technique variety of feature size base on various classifi algorithm be compare in the appropriate feature size smote could improve the classification performance in term of recall and f score
29,Exploring Network Vulnerabilities for Corporate Security Operations,"© Springer Nature Singapore Pte Ltd 2020.User credentials often serve as an entry point into an organization’s network and its information assets. Well-managed identities mean greater control of user access, that would lead to a reduced risk of internal and external breaches. This paper has studied how to apply the Elastic stack for security monitoring and analytics. The Elastic stack, formerly known as ELK, is an open-source product well known as a powerful platform of log management and analytics solutions. Several preliminary experiments were carried out by means of log analysis procedure and malicious traffics monitoring to explore the vulnerabilities or weakness that will cause network failures or illegitimate access to information assets. The experimental results and findings would be beneficial as feedbacks for further establishing corporate policies and regulations, as well as implementing in-house preventive security operations.",['CPE'],explore network vulnerability for corporate security operation springer nature singapore pte ltd user credential often serve as an entry point into an organization s network and its information asset well manage identity mean great control of user access that would lead to a reduce risk of internal and external breach this paper have study how to apply the elastic stack for security monitoring and analytic the elastic stack formerly know as elk be an open source product well know as a powerful platform of log management and analytic solution several preliminary experiment be carry out by mean of log analysis procedure and malicious traffic monitor to explore the vulnerability or weakness that will cause network failure or illegitimate access to information asset the experimental result and finding would be beneficial as feedback for far establish corporate policy and regulation as well as implement in house preventive security operation
30,Effects of the cell and triangular microwell size on the cell-trapping efficacy and specificity,"© 2019, KSME & Springer.The single-, double- or multiple-cell entrapment efficacy is crucial in various aspects of biological studies. In this study, both computational and experimental approaches were conducted to explore the effect of the cell and microwell sizes on the ability of cell-trapping in a triangular microwell. From computational studies, it was found that the interaction between a spanwise vortex on the upper part and counter-rotating streamwise vortices at the leading edge helped to form a pair of secondary streamwise vortices deeper inside the microwell. The strength and size of these secondary streamwise vortices, which depended on the size of the microwell, played an important role in the arrangement of entrapped cells. The experimental results, with both microbeads and white blood cells (WBCs), were in good agreement with the simulated ones, and suggested that the ratio between the cell and microwell sizes was an important factor in the efficacy of single-, double- and multiple-cell cell-trapping. Entrapment of canine WBCs (size distribution between 7–15 µm) attained a highest single-cell trapping efficiency of 20.4 % in the array of 40-µm triangular microwells of 30 µm depth at a flow rate of 0.1 mL/h, but this was reduced to 16.5 and 10.6 % in the 60- and 80-µm microwells, respectively, under the same conditions.","['BME', 'ME']",effect of the cell and triangular microwell size on the cell trap efficacy and specificity ksme springer the single double or multiple cell entrapment efficacy be crucial in various aspect of biological study in this study both computational and experimental approach be conduct to explore the effect of the cell and microwell size on the ability of cell trap in a triangular microwell from computational study it be find that the interaction between a spanwise vortex on the upper part and counter rotate streamwise vortex at the lead edge help to form a pair of secondary streamwise vortice deeply inside the microwell the strength and size of these secondary streamwise vortex which depend on the size of the microwell play an important role in the arrangement of entrap cell the experimental result with both microbead and white blood cell wbc be in good agreement with the simulated one and suggest that the ratio between the cell and microwell size be an important factor in the efficacy of single double and multiple cell cell trap entrapment of canine wbcs size distribution between µm attain a high single cell trap efficiency of in the array of µm triangular microwell of µm depth at a flow rate of ml h but this be reduce to and in the and µm microwell respectively under the same condition
31,Determination of appropriate size of battery as backup system in generation system,"© 2018 IEEENowadays, power systems of many countries have high renewable energy penetration because the renewable energy has less impact on environment issues. However, because of its unpredictability and uncontrollability, it may cause the power system less reliable and need more backup power. Using only responsive conventional power plants is difficult to manage this problem. Thus, the battery energy storage that has quick response receives high interest, recently. This paper proposes a methodology to determine an appropriate size of battery as a backup system in generation system. The appropriate size of battery is determined using generation system reliability concept. Reliability indices such as API and AEI are considered. They are calculated using Monte-Carlo simulation. Finally, the Thailand Regional power system is used as a test system. Obtained results show that each region required a different size of batteries depending on an amount of renewable energy generation and load in its region.","['PE', 'EE', 'CPE', 'MATH']",determination of appropriate size of battery as backup system in generation system ieeenowaday power system of many country have high renewable energy penetration because the renewable energy have less impact on environment issue however because of its unpredictability and uncontrollability it may cause the power system less reliable and need more backup power use only responsive conventional power plant be difficult to manage this problem thus the battery energy storage that have quick response receive high interest recently this paper propose a methodology to determine an appropriate size of battery as a backup system in generation system the appropriate size of battery be determine use generation system reliability concept reliability index such as api and aei be consider they be calculate use monte carlo simulation finally the thailand regional power system be use as a test system obtain result show that each region require a different size of battery depend on an amount of renewable energy generation and load in its region
32,Comparative study of local gas-liquid hydrodynamics and mass transfer between conventional and modified airlift reactors,"© 2019 Elsevier Ltd. All rights reserved.Modified airlift reactor (MALR) was developed for improving the oxygen transfer coefficient (KLa) by installing the slanted baffles in the riser compartment. MALR can enhance KLa value up to 97% compared to a regular reactor. However, insufficient analysis of the hydrodynamics and other oxygen transfer parameters of this new reactor has been performed to date. Therefore, this paper aims to analyse local gas-liquid dynamics and evaluate the oxygen transfer performance in MALR compared to regular reactors using clean water as a liquid phase. Air bubble distribution was employed in terms of bubble diameter, rising velocity, and interfacial area. Slanted baffles maintained the bubble size between 3.88 and 4.63 mm for the studied superficial gas velocity (Ug), which is smaller than that in airlift reactor (ALR) by approximately 0.2 mm. Bubble rising velocity (UB) is relatively increased with Ug, regardless of reactor classes. New reactor could extend the bubble residence in the water by lengthening the bubble stream path of the slanted baffles leading to decrease UB values about 39% and 52% compared to bubble column reactor (BCR) and ALR, respectively. These performances consequently resulted in an interfacial area almost two times higher than in regular reactors. Oxygen transfer improved in MALR with an extra amount of oxygen transfer efficiency of 1.57% and 0.63% over BCR and ALR, respectively. This resulted in the highest aeration efficiency (AE) compared to other examined reactors, following a trendline expression of AE 0.046 Ug-0.6. Insertion of slanted baffles produced 5% and 12.8% more dead zone volume than ALR and BCR, respectively. In conclusion, MALR can significantly enhance oxygen transfer performance due to the ability to maintain bubble size and extend the gas-liquid transfer period.","['METAL', 'ME', 'CHE', 'IE']",comparative study of local gas liquid hydrodynamic and mass transfer between conventional and modify airlift reactor elsevier ltd all right reserve modify airlift reactor malr be develop for improve the oxygen transfer coefficient kla by instal the slant baffle in the riser compartment malr can enhance kla value up to compare to a regular reactor however insufficient analysis of the hydrodynamic and other oxygen transfer parameter of this new reactor have be perform to date therefore this paper aim to analyse local gas liquid dynamic and evaluate the oxygen transfer performance in malr compare to regular reactor use clean water as a liquid phase air bubble distribution be employ in term of bubble diameter rise velocity and interfacial area slant baffle maintain the bubble size between and mm for the study superficial gas velocity ug which be small than that in airlift reactor alr by approximately mm bubble rise velocity ub be relatively increase with ug regardless of reactor class new reactor could extend the bubble residence in the water by lengthen the bubble stream path of the slant baffle lead to decrease ub value about and compare to bubble column reactor bcr and alr respectively these performance consequently result in an interfacial area almost two time high than in regular reactor oxygen transfer improve in malr with an extra amount of oxygen transfer efficiency of and over bcr and alr respectively this result in the high aeration efficiency ae compare to other examined reactor follow a trendline expression of ae ug insertion of slant baffle produce and more dead zone volume than alr and bcr respectively in conclusion malr can significantly enhance oxygen transfer performance due to the ability to maintain bubble size and extend the gas liquid transfer period
33,Image Enhancement and Quality Assessment Methods in Turbid Water: A Review Article,"© 2019 IEEE.The underwater imaging systems are drawing attention during the past few decades as more and more applications such as ocean exploration, underwater vehicles, intelligent fishing are becoming popular. As a result, newer and superior techniques are in need to fulfill the demands of receiving clearer, finer and better-quality underwater images with improved information within it. In this paper, recent underwater image enhancement systems which are capable of improving quality of images that suffers from low light and unbalanced colors are revised. Moreover, a variety of objective assessment methods regarding to desired category of information evaluation are highlighted.",['OPTIC'],image enhancement and quality assessment method in turbid water a review article ieee the underwater imaging system be draw attention during the past few decade as more and more application such as ocean exploration underwater vehicle intelligent fishing be become popular as a result new and superior technique be in need to fulfill the demand of receive clear finer and well quality underwater image with improve information within it in this paper recent underwater image enhancement system which be capable of improve quality of image that suffer from low light and unbalanced color be revise moreover a variety of objective assessment method regard to desire category of information evaluation be highlight
34,Study on Raman spectroscopy of InSb nano-stripes grown on GaSb substrate by molecular beam epitaxy and their Raman peak shift with magnetic field,"© 2019 We report on the Raman spectroscopy of self-assembled InSb nano-stripes grown on (0 0 1) GaSb substrate by molecular beam epitaxy. The nano-stripes have a truncated pyramidal shape with the typical dimension of ∼150 × 200 × 25 nm 3 . Raman spectroscopy is applied to probe the phonon-related properties of the InSb nano-stripes. Raman spectroscopy shows slight redshifts of the InSb-related phonon peaks when the excitation wavelength is increased. When a magnetic field is applied, blueshifts of these peaks are observed. Transmission electron microscopy is utilized to relate the structural information of the InSb nano-stripes and their Raman properties.","['EE', 'OPTIC', 'CHE', 'MATSCI']",study on raman spectroscopy of insb nano stripe grow on gasb substrate by molecular beam epitaxy and their raman peak shift with magnetic field we report on the raman spectroscopy of self assemble insb nano stripe grow on gasb substrate by molecular beam epitaxy the nano stripe have a truncated pyramidal shape with the typical dimension of nm raman spectroscopy be apply to probe the phonon relate property of the insb nano stripes raman spectroscopy show slight redshift of the insb relate phonon peak when the excitation wavelength be increase when a magnetic field be apply blueshift of these peak be observe transmission electron microscopy be utilize to relate the structural information of the insb nano stripe and their raman property
35,Growth-related photoluminescence properties of InSb/GaAs self-assembled quantum dots grown on (001) Ge substrates,"© 2021 Elsevier B.V.Various photoluminescence (PL) spectroscopies are applied to reveal the growth-related properties of self-assembled InSb/GaAs quantum dots (QDs) grown on (001) Ge substrate. Obtained QDs have rectangular-based shape and mainly locate near GaAs antiphase domain boundaries (APBs), which are formed during the growth of GaAs on (001) Ge substrate. The morphology and structural properties of InSb QDs can be varied by the change of controlled growth conditions. Optical phonons scatterings of the embedded InSb QDs are revealed by Raman spectroscopy. The low-temperature PL emission energy of InSb/GaAs QDs is in the range of 1.18–1.29 eV. The power-dependent PL spectroscopy confirms the type-II band alignment in this system. The thermal activation energies (22.7 meV and 146.5 meV) are extracted from the temperature-dependent PL spectroscopy (10–140 K). The polarization-dependent PL spectroscopy is performed and exhibits the polarization degree of ~ 18%, which is attributed to the shape anisotropy of buried InSb QDs.","['METAL', 'ME', 'EE', 'OPTIC', 'NANO', 'CHE', 'MATSCI']",growth relate photoluminescence property of insb gaas self assemble quantum dot grow on ge substrate elsevi b v various photoluminescence pl spectroscopy be apply to reveal the growth relate property of self assemble insb gaas quantum dots qds grow on ge substrate obtain qds have rectangular base shape and mainly locate near gaas antiphase domain boundary apbs which be form during the growth of gaas on ge substrate the morphology and structural property of insb qds can be vary by the change of control growth condition optical phonon scattering of the embed insb qds be reveal by raman spectroscopy the low temperature pl emission energy of insb gaas qds be in the range of ev the power dependent pl spectroscopy confirm the type ii band alignment in this system the thermal activation energie mev and mev be extract from the temperature dependent pl spectroscopy k the polarization dependent pl spectroscopy be perform and exhibit the polarization degree of which be attribute to the shape anisotropy of bury insb qds
36,Implementation of microservice-based network traffic logger,"© Proceedings of 2018 the 8th International Workshop on Computer Science and Engineering, WCSE 2018. All rights reserved.For the benefits of information security, data storage management is often performed under supervision of official regulations, such as ISO/IEC 27001. One of the topics addressing operations security specifies the requirements of logging and monitoring to record events and generate evidence. As the vast amount of traffic flowing over the internet continues to grow, this paper presents the implementation of network traffic logger using Microservices to promote scalability. It also enables isolated upgrades and new features without necessarily disrupting other services and the teams developing other services. With the assistance of the microservice architecture, the log management system would be more easily managed and scaled.",['CPE'],implementation of microservice base network traffic logger proceeding of the th international workshop on computer science and engineering wcse all right reserve for the benefit of information security datum storage management be often perform under supervision of official regulation such as iso iec one of the topic address operation security specify the requirement of log and monitor to record event and generate evidence as the vast amount of traffic flow over the internet continue to grow this paper present the implementation of network traffic logger use microservice to promote scalability it also enable isolated upgrade and new feature without necessarily disrupt other service and the team develop other service with the assistance of the microservice architecture the log management system would be more easily manage and scale
37,Dynamic programming approach to optimal maintenance scheduling of substation equipment considering life cycle cost and reliability,"© 2018 IEEEAsset management of transmission system is an essential issue for smart grid and condition monitoring system, especially maintenance planning. Maintenance scheduling is the most important part of asset management. The scheduling affects the reliability of equipment, the reliability of substation system and life cycle cost (LCC). Since the equipment in substation hardly fails to operate, the information about failure is not yet systematically recorded. This paper focuses on long term maintenance based on available data of historical planning and operation data. In particular, the Weibull distribution model is used to estimate reliability function of equipment. A maintenance planning may lead to different final condition of effective age of equipment. We propose the optimal maintenance planning in conjunction with the specified final condition of equipment and compare the LCC and reliability. By using dynamic programming (DP), the algorithm gives the minimum LCC while satisfying reliability and final condition. Numerical results demonstrate the effectiveness of the DP approach. Comparing with the results using the genetic algorithm, the DP method provides the maintenance planning with less LCC.","['IE', 'MATH']",dynamic programming approach to optimal maintenance scheduling of substation equipment consider life cycle cost and reliability ieeeasset management of transmission system be an essential issue for smart grid and condition monitoring system especially maintenance planning maintenance scheduling be the most important part of asset management the scheduling affect the reliability of equipment the reliability of substation system and life cycle cost lcc since the equipment in substation hardly fail to operate the information about failure be not yet systematically record this paper focus on long term maintenance base on available datum of historical planning and operation datum in particular the weibull distribution model be use to estimate reliability function of equipment a maintenance planning may lead to different final condition of effective age of equipment we propose the optimal maintenance planning in conjunction with the specify final condition of equipment and compare the lcc and reliability by use dynamic programming dp the algorithm give the minimum lcc while satisfy reliability and final condition numerical result demonstrate the effectiveness of the dp approach compare with the result use the genetic algorithm the dp method provide the maintenance planning with less lcc
38,The efficient conversion of D-Fructose to 5-Hydroxymethylfurfural using organic acids as catalytic promoters,"© 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.5-Hydroxymethylfurfural (HMF) is one of the main chemical building blocks to generate other high value-added biofuels and biochemicals. This study aimed to produce HMF from fructose dehydration under a biphasic system using various organic acids as catalytic promoters, such as formic acid, acetic acid, lactic acid, succinic acid, and levulinic acid. Among these organic acids, the acetic acid was found to be the best promoter in this system. The experimental results showed a prominent correlation between the HMF formation and the pKa – the higher pKa gave rise to greater HMF yield and lower activity toward side reactions. Response surface methodology was performed to identify the optimum reaction temperature, time, and promoter concentration for fructose dehydration. Among the three variables, the reaction temperature played the most significant role in fructose conversion and HMF yield. The optimum condition to achieve the highest HMF yield at 72.5% from fructose dehydration was found at 195.8 °C under a mild concentration of acetic acid at 0.075 M for 3.2 min. Graphical abstract: [Figure not available: see fulltext.]","['CHE', 'MATSCI']",the efficient conversion of d fructose to hydroxymethylfurfural use organic acid as catalytic promoter the author s under exclusive licence to springer verlag gmbh germany part of springer nature hydroxymethylfurfural hmf be one of the main chemical building block to generate other high value add biofuel and biochemical this study aim to produce hmf from fructose dehydration under a biphasic system use various organic acid as catalytic promoter such as formic acid acetic acid lactic acid succinic acid and levulinic acid among these organic acid the acetic acid be find to be the good promoter in this system the experimental result show a prominent correlation between the hmf formation and the pka the high pka give rise to great hmf yield and low activity toward side reaction response surface methodology be perform to identify the optimum reaction temperature time and promoter concentration for fructose dehydration among the three variable the reaction temperature play the most significant role in fructose conversion and hmf yield the optimum condition to achieve the high hmf yield at from fructose dehydration be find at c under a mild concentration of acetic acid at m for min graphical abstract figure not available see fulltext
39,Biomass gasification integrated with CO2 capture processes for high-purity hydrogen production: Process performance and energy analysis,"© 2018 Elsevier LtdThe performance of an integrated biomass gasification and CO2 capture process to produce H2-rich gas satisfying a PEMFC specification is investigated. Wood residue and CaO are used as a biomass feedstock and a CO2 sorbent, respectively. Modeling of such an integrated process is performed by using ASPEN Plus. The effect of change in major parameters, i.e., gasifying temperature, carbonation temperature and CaO/C ratio, on the product gas composition is investigated. The H2 concentration of the product gas leaving the gasifier is found to increase as the gasifying temperature increases and reaches its maximum value when the gasifying temperature is higher than 700 °C. For the integrated process, the H2 concentration significantly decreases as the carbonation temperature increases to higher than 500 °C. Moreover, the result indicates that the CaO/C ratio should be maintained at a value higher than 3.17 to ensure that the generated CO2 is completely captured. The energetic and exergetic performances, as well as the environmental impact of the integrated process at various amounts of recycled CO2, are also investigated. The energy conversion efficiency and the exergy efficiency based on H2 production increase as the CO2/C ratio increases, whereas the CO2 emission shows the opposite trend. The maximum exergy efficiency of 69.65%, based on the hydrogen production and the heat generation, is achieved at CO2/C and CaO/C ratios of 0.6 and 4.48, respectively. At this condition, a specific emission of CO2 of 4.4 g CO2 - eqMJ- 1 and an energy conversion efficiency of 88.09% are achieved.","['ENV', 'PE', 'ME', 'CHE']",biomass gasification integrate with co capture process for high purity hydrogen production process performance and energy analysis elsevi ltdthe performance of an integrate biomass gasification and co capture process to produce h rich gas satisfy a pemfc specification be investigate wood residue and cao be use as a biomass feedstock and a co sorbent respectively model of such an integrate process be perform by use aspen plus the effect of change in major parameter I e gasify temperature carbonation temperature and cao c ratio on the product gas composition be investigate the h concentration of the product gas leave the gasifi be find to increase as the gasifying temperature increase and reach its maximum value when the gasifying temperature be high than c for the integrate process the h concentration significantly decrease as the carbonation temperature increase to high than c moreover the result indicate that the cao c ratio should be maintain at a value high than to ensure that the generate co be completely capture the energetic and exergetic performance as well as the environmental impact of the integrate process at various amount of recycle co be also investigate the energy conversion efficiency and the exergy efficiency base on h production increase as the co c ratio increase whereas the co emission show the opposite trend the maximum exergy efficiency of base on the hydrogen production and the heat generation be achieve at co c and cao c ratio of and respectively at this condition a specific emission of co of g co eqmj and an energy conversion efficiency of be achieve
